Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
1913_T1160001_B_R18_1of1_Timo_1x1_l_c,1913,Nikon,1x,1,T1160001,B,R18,Top,1of1,Solo,Timo,l,c
1914_T1160001_B_R18_1of1_Timo_1x1_p_c,1914,Nikon,1x,1,T1160001,B,R18,Top,1of1,Solo,Timo,p,c
1915_T1160001_B_R19_1of1_Timo_1x1_d_c,1915,Nikon,1x,1,T1160001,B,R19,Top,1of1,Solo,Timo,d,c
1916_T1160001_B_R19_1of1_Timo_1x1_l_c,1916,Nikon,1x,1,T1160001,B,R19,Top,1of1,Solo,Timo,l,c
1917_T1160001_B_R19_1of1_Timo_1x1_p_c,1917,Nikon,1x,1,T1160001,B,R19,Top,1of1,Solo,Timo,p,c
1918_T1160001_B_R20_1of1_Timo_1x1_d_c,1918,Nikon,1x,1,T1160001,B,R20,Top,1of1,Solo,Timo,d,c
1919_T1160001_B_R20_1of1_Timo_1x1_l_c,1919,Nikon,1x,1,T1160001,B,R20,Top,1of1,Solo,Timo,l,c
1920_T1160001_B_R20_1of1_Timo_1x1_p_c,1920,Nikon,1x,1,T1160001,B,R20,Top,1of1,Solo,Timo,p,c
1921_T1160001_C_R1_1of1_Timo_1x1_d_c,1921,Nikon,1x,1,T1160001,C,R1,Base,1of1,Solo,Timo,d,c
1922_T1160001_C_R1_1of1_Timo_1x1_l_c,1922,Nikon,1x,1,T1160001,C,R1,Base,1of1,Solo,Timo,l,c
1923_T1160001_C_R1_1of1_Timo_1x1_p_c,1923,Nikon,1x,1,T1160001,C,R1,Base,1of1,Solo,Timo,p,c
1924_T1160001_C_R2_1of2_Timo_1x1_d_c,1924,Nikon,1x,1,T1160001,C,R2,Base,1of2,External,Timo,d,c
1925_T1160001_C_R2_1of2_Timo_1x1_l_c,1925,Nikon,1x,1,T1160001,C,R2,Base,1of2,External,Timo,l,c
1926_T1160001_C_R2_1of2_Timo_1x1_p_c,1926,Nikon,1x,1,T1160001,C,R2,Base,1of2,External,Timo,p,c
1927_T1160001_C_R2_2of2_Timo_1x1_d_c,1927,Nikon,1x,1,T1160001,C,R2,Base,2of2,External,Timo,d,c
1928_T1160001_C_R2_2of2_Timo_1x1_l_c,1928,Nikon,1x,1,T1160001,C,R2,Base,2of2,External,Timo,l,c
1929_T1160001_C_R2_2of2_Timo_1x1_p_c,1929,Nikon,1x,1,T1160001,C,R2,Base,2of2,External,Timo,p,c
1930_T1160001_C_R11_1of2_Timo_1x1_d_c,1930,Nikon,1x,1,T1160001,C,R11,Mid,1of2,External,Timo,d,c
1931_T1160001_C_R11_1of2_Timo_1x1_l_c,1931,Nikon,1x,1,T1160001,C,R11,Mid,1of2,External,Timo,l,c
1932_T1160001_C_R11_1of2_Timo_1x1_p_c,1932,Nikon,1x,1,T1160001,C,R11,Mid,1of2,External,Timo,p,c
1933_T1160001_C_R11_2of2_Timo_1x1_d_c,1933,Nikon,1x,1,T1160001,C,R11,Mid,2of2,External,Timo,d,c
1934_T1160001_C_R11_2of2_Timo_1x1_l_c,1934,Nikon,1x,1,T1160001,C,R11,Mid,2of2,External,Timo,l,c
1935_T1160001_C_R11_2of2_Timo_1x1_p_c,1935,Nikon,1x,1,T1160001,C,R11,Mid,2of2,External,Timo,p,c
1936_T1160001_C_R12_2of2_Timo_1x1_d_c,1936,Nikon,1x,1,T1160001,C,R12,Mid,2of2,External,Timo,d,c
1937_T1160001_C_R12_2of2_Timo_1x1_l_c,1937,Nikon,1x,1,T1160001,C,R12,Mid,2of2,External,Timo,l,c
1938_T1160001_C_R12_2of2_Timo_1x1_p_c,1938,Nikon,1x,1,T1160001,C,R12,Mid,2of2,External,Timo,p,c
1939_T1160001_C_R20_1of2_Timo_1x1_d_c,1939,Nikon,1x,1,T1160001,C,R20,Top,1of2,External,Timo,d,c
1940_T1160001_C_R20_1of2_Timo_1x1_l_c,1940,Nikon,1x,1,T1160001,C,R20,Top,1of2,External,Timo,l,c
