Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?,Mixed sample?
9375_New Type_22637_S16_Middle_1x1_l_c,9375,Nikon,1x,1,12015,22637,,Mid,S16,,Arch_New,l,c,N
9376_New Type_22637_S17_Middle_1x1_d_c,9376,Nikon,1x,1,12015,22637,,Mid,S17,,Arch_New,d,c,N
9377_New Type_22637_S17_Middle_1x1_l_c,9377,Nikon,1x,1,12015,22637,,Mid,S17,,Arch_New,l,c,N
9378_New Type_22637_S18_Middle_1x1_d_c,9378,Nikon,1x,1,12015,22637,,Mid,S18,,Arch_New,d,c,N
9379_New Type_22637_S18_Middle_1x1_l_c,9379,Nikon,1x,1,12015,22637,,Mid,S18,,Arch_New,l,c,N
9382_New Type_22637_S20_Middle_1x1_d_c,9382,Nikon,1x,1,12015,22637,,Mid,S20,,Arch_New,d,c,N
9383_New Type_22637_S20_Middle_1x1_l_c,9383,Nikon,1x,1,12015,22637,,Mid,S20,,Arch_New,l,c,N
9384_New Type_22637_S21_Middle_1x1_d_c,9384,Nikon,1x,1,12015,22637,,Mid,S21,,Arch_New,d,c,N
9385_New Type_22637_S21_Middle_1x1_l_c,9385,Nikon,1x,1,12015,22637,,Mid,S21,,Arch_New,l,c,N
9386_New Type_30785_S4_Late_1x1_d_c,9386,Nikon,1x,1,10922,30785,,Late,S4,,Arch_New,d,c,N
9387_New Type_30785_S4_Late_1x1_l_c,9387,Nikon,1x,1,10922,30785,,Late,S4,,Arch_New,l,c,N
9388_New Type_30785_S5_Late_1x1_d_c,9388,Nikon,1x,1,10922,30785,,Late,S5,,Arch_New,d,c,N
9389_New Type_30785_S5_Late_1x1_l_c,9389,Nikon,1x,1,10922,30785,,Late,S5,,Arch_New,l,c,N
9392_Emmer_2306_S2_Middle_1x1_d_c,9392,Nikon,1x,1,940,2306,,Middle,S2,,Arch_Emmer,d,c,Y
9393_Emmer_2306_S2_Middle_1x1_l_c,9393,Nikon,1x,1,940,2306,,Middle,S2,,Arch_Emmer,l,c,Y
9394_New_22656_S15_Middle_1x1_d_c,9394,Nikon,1x,1,11996,22656,,Mid,S15,,Arch_New,d,c,N
9395_New_22656_S15_Middle_1x1_l_c,9395,Nikon,1x,1,11996,22656,,Mid,S15,,Arch_New,l,c,N
9396_New_22656_S16_Middle_1x1_d_c,9396,Nikon,1x,1,11996,22656,,Mid,S16,,Arch_New,d,c,N
9397_New_22656_S16_Middle_1x1_l_c,9397,Nikon,1x,1,11996,22656,,Mid,S16,,Arch_New,l,c,N
9398_New_22656_S17_Middle_1x1_d_c,9398,Nikon,1x,1,11996,22656,,Mid,S17,,Arch_New,d,c,N
9399_New_22656_S17_Middle_1x1_l_c,9399,Nikon,1x,1,11996,22656,,Mid,S17,,Arch_New,l,c,N
9400_New_22656_S18_Middle_1x1_d_c,9400,Nikon,1x,1,11996,22656,,Middle,S18,,Arch_New,d,c,N
9401_New_22656_S18_Middle_1x1_l_c,9401,Nikon,1x,1,11996,22656,,Middle,S18,,Arch_New,l,c,N
9402_New_22656_S19_Middle_1x1_d_c,9402,Nikon,1x,1,11996,22656,,Middle,S19,,Arch_New,d,c,N
9403_New_22656_S19_Middle_1x1_l_c,9403,Nikon,1x,1,11996,22656,,Middle,S19,,Arch_New,l,c,N
9404_New_22656_S20_Middle_1x1_d_c,9404,Nikon,1x,1,11996,22656,,Middle,S20,,Arch_New,d,c,N
9405_New_22656_S20_Middle_1x1_l_c,9405,Nikon,1x,1,11996,22656,,Middle,S20,,Arch_New,l,c,N
9406_New_22656_S21_Middle_1x1_d_c,9406,Nikon,1x,1,11996,22656,,Middle,S21,,Arch_New,d,c,N
9407_New_22656_S21_Middle_1x1_l_c,9407,Nikon,1x,1,11996,22656,,Middle,S21,,Arch_New,l,c,N
9408_New_22656_S22_Middle_1x1_d_c,9408,Nikon,1x,1,11996,22656,,Middle,S22,,Arch_New,d,c,N
9409_New_22656_S22_Middle_1x1_l_c,9409,Nikon,1x,1,11996,22656,,Middle,S22,,Arch_New,l,c,N
9412_New_22656_S24_Middle_1x1_d_c,9412,Nikon,1x,1,11996,22656,,Middle,S24,,Arch_New,d,c,N
9413_New_22656_S24_Middle_1x1_l_c,9413,Nikon,1x,1,11996,22656,,Middle,S24,,Arch_New,l,c,N
9414_New_22656_S25_Middle_1x1_d_c,9414,Nikon,1x,1,11996,22656,,Middle,S25,,Arch_New,d,c,N
9415_New_22656_S25_Middle_1x1_l_c,9415,Nikon,1x,1,11996,22656,,Middle,S25,,Arch_New,l,c,N
9416_New_22656_S26_Middle_1x1_d_c,9416,Nikon,1x,1,11996,22656,,Middle,S26,,Arch_New,d,c,N
9417_New_22656_S26_Middle_1x1_l_c,9417,Nikon,1x,1,11996,22656,,Middle,S26,,Arch_New,l,c,N
9418_New_22656_S27_Middle_1x1_d_c,9418,Nikon,1x,1,11996,22656,,Middle,S27,,Arch_New,d,c,N
9419_New_22656_S27_Middle_1x1_l_c,9419,Nikon,1x,1,11996,22656,,Middle,S27,,Arch_New,l,c,N
9428_Emmer_4869_S1_Early_1x1_d_c,9428,Nikon,1x,1,3151,4869,,Early,S1,,Arch_Emmer,d,c,Y
9429_Emmer_4869_S1_Early_1x1_l_c,9429,Nikon,1x,1,3151,4869,,Early,S1,,Arch_Emmer,l,c,Y
9430_Emmer_4869_S2_Early_1x1_d_c,9430,Nikon,1x,1,3151,4869,,Early,S2,,Arch_Emmer,d,c,Y
9431_Emmer_4869_S2_Early_1x1_l_c,9431,Nikon,1x,1,3151,4869,,Early,S2,,Arch_Emmer,l,c,Y
9432_cf. 2gr einkorn_4869_S1_Early_1x1_d_c,9432,Nikon,1x,1,3151,4869,,Early,S1,,Arch_New,d,c,Y
