Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?,Mixed sample?
9316_New Type_16480_S5_Middle_1x1_d_c,9316,Nikon,1x,1,8413,16480,,Middle,S5,,,d,c,Y
9317_New Type_16480_S5_Middle_1x1_l_c,9317,Nikon,1x,1,8413,16480,,Middle,S5,,,l,c,Y
9342_New Type_16480_S18_Middle_1x1_d_c,9342,Nikon,1x,1,8413,16480,,Middle,S18,,,d,c,Y
9343_New Type_16480_S18_Middle_1x1_l_c,9343,Nikon,1x,1,8413,16480,,Middle,S18,,,l,c,Y
9344_New Type_16480_S19_Middle_1x1_d_c,9344,Nikon,1x,1,8413,16480,,Middle,S19,,,d,c,Y
9345_New Type_16480_S19_Middle_1x1_l_c,9345,Nikon,1x,1,8413,16480,,Middle,S19,,,l,c,Y
9346_New Type_16480_S20_Middle_1x1_d_c,9346,Nikon,1x,1,8413,16480,,Middle,S20,,,d,c,Y
9347_New Type_16480_S20_Middle_1x1_l_c,9347,Nikon,1x,1,8413,16480,,Middle,S20,,,l,c,Y
9392_Emmer_2306_S2_Middle_1x1_d_c,9392,Nikon,1x,1,940,2306,,Middle,S2,,,d,c,Y
9393_Emmer_2306_S2_Middle_1x1_l_c,9393,Nikon,1x,1,940,2306,,Middle,S2,,,l,c,Y
9428_Emmer_4869_S1_Early_1x1_d_c,9428,Nikon,1x,1,3151,4869,,Early,S1,,,d,c,Y
9429_Emmer_4869_S1_Early_1x1_l_c,9429,Nikon,1x,1,3151,4869,,Early,S1,,,l,c,Y
9430_Emmer_4869_S2_Early_1x1_d_c,9430,Nikon,1x,1,3151,4869,,Early,S2,,,d,c,Y
9431_Emmer_4869_S2_Early_1x1_l_c,9431,Nikon,1x,1,3151,4869,,Early,S2,,,l,c,Y
9432_cf. 2gr einkorn_4869_S1_Early_1x1_d_c,9432,Nikon,1x,1,3151,4869,,Early,S1,,,d,c,Y
9433_cf. 2gr einkorn_4869_S1_Early_1x1_l_c,9433,Nikon,1x,1,3151,4869,,Early,S1,,,l,c,Y
9434_indet_4869_S2_Early_1x1_d_c,9434,Nikon,1x,1,3151,4869,,Early,S2,,,d,c,Y
9435_indet_4869_S2_Early_1x1_l_c,9435,Nikon,1x,1,3151,4869,,Early,S2,,,l,c,Y
9436_EmmerORNew_22834_S2_Late_1x1_d_c,9436,Nikon,1x,1,12155,22834,,Late,S2,,,d,c,Y
9437_EmmerORNew_22834_S2_Late_1x1_l_c,9437,Nikon,1x,1,12155,22834,,Late,S2,,,l,c,Y
9440_EmmerORNew_22834_S4_Late_1x1_d_c,9440,Nikon,1x,1,12155,22834,,Late,S4,,,d,c,Y
9441_EmmerORNew_22834_S4_Late_1x1_l_c,9441,Nikon,1x,1,12155,22834,,Late,S4,,,l,c,Y
9444_EmmerORNew_22834_S6_Late_1x1_d_c,9444,Nikon,1x,1,12155,22834,,Late,S6,,,d,c,Y
9445_EmmerORNew_22834_S6_Late_1x1_l_c,9445,Nikon,1x,1,12155,22834,,Late,S6,,,l,c,Y
9446_2gr einkorn_3705_S2_Early_1x1_d_c,9446,Nikon,1x,1,1804,3705,,Early,S2,,,d,c,Y
9447_2gr einkorn_3705_S2_Early_1x1_l_c,9447,Nikon,1x,1,1804,3705,,Early,S2,,,l,c,Y
9448_EmmerorEinkorn_3705_S1_Early_1x1_d_c,9448,Nikon,1x,1,1804,3705,,Early,S1,,,d,c,Y
9449_EmmerorEinkorn_3705_S1_Early_1x1_l_c,9449,Nikon,1x,1,1804,3705,,Early,S1,,,l,c,Y
9454_Emmer_32046_S2_Middle_1x1_d_c,9454,Nikon,1x,1,12717,32046,,Middle,S2,,,d,c,Y
9455_Emmer_32046_S2_Middle_1x1_l_c,9455,Nikon,1x,1,12717,32046,,Middle,S2,,,l,c,Y
9462_Emmer_32046_S4_Middle_1x1_d_c,9462,Nikon,1x,1,12717,32046,,Middle,S4,,,d,c,Y
9463_Emmer_32046_S4_Middle_1x1_l_c,9463,Nikon,1x,1,12717,32046,,Middle,S4,,,l,c,Y
9464_Emmer_32046_S5_Middle_1x1_d_c,9464,Nikon,1x,1,12717,32046,,Middle,S5,,,d,c,Y
9465_Emmer_32046_S5_Middle_1x1_l_c,9465,Nikon,1x,1,12717,32046,,Middle,S5,,,l,c,Y
9468_Emmer_14305_S2_Late_1x1_d_c,9468,Nikon,1x,1,7104,14305,,Late,S2,,,d,c,Y
9469_Emmer_14305_S2_Late_1x1_l_c,9469,Nikon,1x,1,7104,14305,,Late,S2,,,l,c,Y
9470_NoID_14305_S1_Late_1x1_d_c,9470,Nikon,1x,1,7104,14305,,Late,S1,,,d,c,Y
9471_NoID_14305_S1_Late_1x1_l_c,9471,Nikon,1x,1,7104,14305,,Late,S1,,,l,c,Y
9472_New_14305_S1_Late_1x1_d_c,9472,Nikon,1x,1,7104,14305,,Late,S1,,,d,c,Y
9473_New_14305_S1_Late_1x1_l_c,9473,Nikon,1x,1,7104,14305,,Late,S1,,,l,c,Y
9476_New_20703_S16_Late_1x1_d_c,9476,Nikon,1x,1,10830,20703,,Late,S16,,,d,c,Y
